lag_samples,class,mean,std
1,music,0.7804955622942642,0.13726948055926796
1,noise,0.662679710182503,0.007625136028383196
10,music,0.07352574397454531,0.04845033347494444
10,noise,0.5211097981060189,0.007069856994165459
100,music,0.023097807281955478,0.011268431737826335
100,noise,0.06959544627922401,0.007080405759946631
1000,music,0.012377851746769104,0.005954938213708471
1000,noise,0.18020153003753198,0.01206548630312415
