,,H_Q,H_Q,h_hat,h_hat,H_max,H_max,h_Gauss,h_Gauss,gap_h_Gauss_minus_h_hat,gap_h_Gauss_minus_h_hat
,,mean,std,mean,std,mean,std,mean,std,mean,std
delta,class,,,,,,,,,,
0.001,music,8.63746065640333,0.5455589316069941,-1.328323628258755,0.5455589316069945,10.965784284662087,0.0,-1.2321820570373547,0.5377404853048634,0.0961415712214002,0.05995437205579017
0.001,noise,3.413274666633621,0.029352792724995778,-6.552509618028466,0.029352792724995844,10.965784284662087,0.0,-6.515936540459217,0.022201667220501334,0.036573077569249345,0.007609850986655417
0.002,music,7.639013584536461,0.5458473483304498,-1.3267707001256257,0.5458473483304498,9.965784284662087,0.0,-1.2321820570373547,0.5377404853048634,0.09458864308827114,0.059772621900450906
0.002,noise,2.445458179958208,0.027473020807259062,-6.520326104703879,0.02747302080725881,9.965784284662087,0.0,-6.515936540459217,0.022201667220501334,0.004389564244662747,0.005928473603116587
0.005,music,6.319893567235018,0.5460321577595597,-1.3239626225397072,0.5460321577595598,8.643856189774725,0.0,-1.2321820570373547,0.5377404853048634,0.09178056550235272,0.05896578936064014
0.005,noise,1.2838319752766232,0.020162263947506035,-6.360024214498101,0.020162263947506077,8.643856189774725,0.0,-6.515936540459217,0.022201667220501334,-0.15591232596111554,0.004832274716386184
0.01,music,5.32654002480334,0.544847675074009,-1.3173161649713845,0.5448476750740092,7.643856189774725,0.0,-1.2321820570373547,0.5377404853048634,0.08513410793403,0.05604785779040047
0.01,noise,0.9910872679343001,0.0019258683792082695,-5.6527689218404245,0.001925868379208577,7.643856189774725,0.0,-6.515936540459217,0.022201667220501334,-0.8631676186187924,0.020405116138430376
0.05,music,3.047937724280872,0.5221763127975105,-1.2739903706064906,0.5221763127975104,5.321928094887363,0.0,-1.2321820570373547,0.5377404853048634,0.041808313569136,0.046080710881030176
0.05,noise,0.9905552843249206,0.0015285370646665117,-3.331372810562442,0.0015285370646664878,5.321928094887363,0.0,-6.515936540459217,0.022201667220501334,-3.184563729896775,0.020785305266373153
0.1,music,2.1388063702140334,0.46282702194808756,-1.1831217246733288,0.4628270219480876,4.321928094887363,0.0,-1.2321820570373547,0.5377404853048634,-0.049060332364025794,0.08569961071225213
0.1,noise,0.9914998907737369,0.0014384825460861893,-2.3304282041136255,0.0014384825460861577,4.321928094887363,0.0,-6.515936540459217,0.022201667220501334,-4.185508336345592,0.020869261792145162
0.2,music,1.4152149011349089,0.3121921136037175,-0.9067131937524533,0.3121921136037175,3.3219280948873626,0.0,-1.2321820570373547,0.5377404853048634,-0.3254688632849012,0.2462835389677348
0.2,noise,0.9914998907737369,0.0014384825460861893,-1.3304282041136253,0.0014384825460862327,3.3219280948873626,0.0,-6.515936540459217,0.022201667220501334,-5.185508336345592,0.020869261792145162
0.5,music,1.028290242336998,0.04126026187563823,0.02829024233699795,0.04126026187563807,2.0,0.0,-1.2321820570373547,0.5377404853048634,-1.2604722993743525,0.5026974042445839
0.5,noise,0.9914998907737369,0.0014384825460861893,-0.008500109226263075,0.0014384825460861833,2.0,0.0,-6.515936540459217,0.022201667220501334,-6.507436431232954,0.020869261792145585
