file,class,sampling_rate,num_samples,delta,K,variance,H_Q,h_hat,H_max,h_Gauss,gap_h_Gauss_minus_h_hat
music1.wav,music,48000,432000,0.05,40,0.009352001706662854,2.952428282830901,-1.3694998120564614,5.321928094887363,-1.323158960575658,0.04634085148080347
music10.wav,music,48000,432000,0.05,40,0.030277944900820954,3.821931730130564,-0.49999636475679843,5.321928094887363,-0.475698866457246,0.02429749829955241
music2.wav,music,48000,432000,0.05,40,0.005254108407325412,2.519130337587545,-1.8027977572998175,5.321928094887363,-1.7390735732928868,0.0637241840069307
music3.wav,music,48000,432000,0.05,40,0.007002275170289974,2.8022233700296653,-1.5197047248576974,5.321928094887363,-1.5318846787227498,-0.01217995386505244
music4.wav,music,48000,432000,0.05,40,0.014316199631826357,3.287421889401777,-1.0345062054855858,5.321928094887363,-1.0160082263937549,0.01849797909183093
music5.wav,music,48000,432000,0.05,40,0.007755028318808123,2.8534107363916945,-1.4685173584956681,5.321928094887363,-1.4582305323914506,0.010286826104217495
music6.wav,music,48000,432000,0.05,40,0.019584305208726182,3.378586889748006,-0.9433412051393568,5.321928094887363,-0.7899835363131071,0.15335766882624968
music7.wav,music,48000,432000,0.05,40,0.0029922572083606862,2.1686170035602217,-2.153311091327141,5.321928094887363,-2.14517946130273,0.008131630024410974
music8.wav,music,48000,432000,0.05,40,0.009103564142738302,2.930540709651519,-1.3913873852358436,5.321928094887363,-1.3425808139258428,0.04880657131000077
music9.wav,music,48000,432000,0.05,40,0.029274026141547536,3.765086293476827,-0.5568418014105356,5.321928094887363,-0.5000219209981196,0.056819880412416035
noise1.wav,noise,48000,432000,0.05,40,6.947861687972802e-06,0.9906904110299442,-3.3312376838574185,5.321928094887363,-6.52040418227752,-3.189166498420102
noise10.wav,noise,48000,432000,0.05,40,7.2006705260779e-06,0.9919619185878659,-3.3299661762994965,5.321928094887363,-6.494623071231366,-3.16465689493187
noise2.wav,noise,48000,432000,0.05,40,7.033766784125519e-06,0.9905160344510016,-3.331412060436361,5.321928094887363,-6.511539949043015,-3.1801278886066537
noise3.wav,noise,48000,432000,0.05,40,6.898330463558524e-06,0.9891825518308064,-3.3327455430565562,5.321928094887363,-6.525565078201998,-3.192819535145442
noise4.wav,noise,48000,432000,0.05,40,6.835326287860868e-06,0.9895794658731907,-3.332348629014172,5.321928094887363,-6.532183595844255,-3.1998349668300827
noise5.wav,noise,48000,432000,0.05,40,6.992243966520284e-06,0.9898992330238445,-3.332028861863518,5.321928094887363,-6.515810938072731,-3.1837820762092126
noise6.wav,noise,48000,432000,0.05,40,6.7104003231075645e-06,0.9882895154962601,-3.3336385793911028,5.321928094887363,-6.545489281474798,-3.2118507020836953
noise7.wav,noise,48000,432000,0.05,40,6.815763926547787e-06,0.9904498377922599,-3.3314782570951027,5.321928094887363,-6.534251016140371,-3.2027727590452684
noise8.wav,noise,48000,432000,0.05,40,7.02759898453184e-06,0.9912436764313683,-3.330684418455994,5.321928094887363,-6.5121727648451255,-3.1814883463891315
noise9.wav,noise,48000,432000,0.05,40,7.478382918954829e-06,0.9937401987326642,-3.3281878961546987,5.321928094887363,-6.467325527460988,-3.1391376313062898
music1.wav,music,48000,432000,0.1,20,0.009352001706662854,2.034013930655009,-1.2879141642323533,4.321928094887363,-1.323158960575658,-0.035244796343304685
music10.wav,music,48000,432000,0.1,20,0.030277944900820954,2.8455175591531527,-0.47641053573420944,4.321928094887363,-0.475698866457246,0.0007116692769634225
music2.wav,music,48000,432000,0.1,20,0.005254108407325412,1.697059948078793,-1.6248681468085693,4.321928094887363,-1.7390735732928868,-0.11420542648431753
music3.wav,music,48000,432000,0.1,20,0.007002275170289974,1.8782291472029387,-1.4436989476844235,4.321928094887363,-1.5318846787227498,-0.08818573103832628
music4.wav,music,48000,432000,0.1,20,0.014316199631826357,2.329578212984349,-0.9923498819030132,4.321928094887363,-1.0160082263937549,-0.023658344490741667
music5.wav,music,48000,432000,0.1,20,0.007755028318808123,1.9278517181182282,-1.394076376769134,4.321928094887363,-1.4582305323914506,-0.06415415562231663
music6.wav,music,48000,432000,0.1,20,0.019584305208726182,2.4605008312912595,-0.8614272635961027,4.321928094887363,-0.7899835363131071,0.07144372728299553
music7.wav,music,48000,432000,0.1,20,0.0029922572083606862,1.4150253706725888,-1.9069027242147734,4.321928094887363,-2.14517946130273,-0.2382767370879566
music8.wav,music,48000,432000,0.1,20,0.009103564142738302,2.0067093079358496,-1.3152187869515126,4.321928094887363,-1.3425808139258428,-0.02736202697433021
music9.wav,music,48000,432000,0.1,20,0.029274026141547536,2.793577676048166,-0.5283504188391963,4.321928094887363,-0.5000219209981196,0.028328497841076716
noise1.wav,noise,48000,432000,0.1,20,6.947861687972802e-06,0.9916138855849675,-2.3303142093023945,4.321928094887363,-6.52040418227752,-4.190089972975126
noise10.wav,noise,48000,432000,0.1,20,7.2006705260779e-06,0.9928126020383503,-2.329115492849012,4.321928094887363,-6.494623071231366,-4.165507578382354
noise2.wav,noise,48000,432000,0.1,20,7.033766784125519e-06,0.9914527721126739,-2.330475322774688,4.321928094887363,-6.511539949043015,-4.181064626268327
noise3.wav,noise,48000,432000,0.1,20,6.898330463558524e-06,0.9902327080225648,-2.3316953868647974,4.321928094887363,-6.525565078201998,-4.1938696913372
noise4.wav,noise,48000,432000,0.1,20,6.835326287860868e-06,0.9905896546714308,-2.3313384402159314,4.321928094887363,-6.532183595844255,-4.200845155628324
noise5.wav,noise,48000,432000,0.1,20,6.992243966520284e-06,0.9908676832078731,-2.331060411679489,4.321928094887363,-6.515810938072731,-4.184750526393241
noise6.wav,noise,48000,432000,0.1,20,6.7104003231075645e-06,0.9893558998474763,-2.332572195039886,4.321928094887363,-6.545489281474798,-4.212917086434912
noise7.wav,noise,48000,432000,0.1,20,6.815763926547787e-06,0.9914104253267149,-2.3305176695606473,4.321928094887363,-6.534251016140371,-4.203733346579724
noise8.wav,noise,48000,432000,0.1,20,7.02759898453184e-06,0.9921621527153931,-2.329765942171969,4.321928094887363,-6.5121727648451255,-4.1824068226731566
noise9.wav,noise,48000,432000,0.1,20,7.478382918954829e-06,0.9945011242099245,-2.3274269706774375,4.321928094887363,-6.467325527460988,-4.139898556783551
music1.wav,music,48000,432000,0.2,10,0.009352001706662854,1.3073010918865715,-1.0146270030007907,3.321928094887362,-1.323158960575658,-0.3085319575748673
music10.wav,music,48000,432000,0.2,10,0.030277944900820954,1.9185449616048003,-0.4033831332825619,3.321928094887362,-0.475698866457246,-0.0723157331746841
music2.wav,music,48000,432000,0.2,10,0.005254108407325412,1.1530179965587188,-1.1689100983286433,3.321928094887362,-1.7390735732928868,-0.5701634749642435
music3.wav,music,48000,432000,0.2,10,0.007002275170289974,1.1656152373131867,-1.1563128575741755,3.321928094887362,-1.5318846787227498,-0.37557182114857435
music4.wav,music,48000,432000,0.2,10,0.014316199631826357,1.4914178449490723,-0.8305102499382899,3.321928094887362,-1.0160082263937549,-0.18549797645546495
music5.wav,music,48000,432000,0.2,10,0.007755028318808123,1.2175201781677691,-1.104407916719593,3.321928094887362,-1.4582305323914506,-0.3538226156718576
music6.wav,music,48000,432000,0.2,10,0.019584305208726182,1.6682866089716026,-0.6536414859157595,3.321928094887362,-0.7899835363131071,-0.1363420503973476
music7.wav,music,48000,432000,0.2,10,0.0029922572083606862,1.045073042503723,-1.2768550523836393,3.321928094887362,-2.14517946130273,-0.8683244089190907
music8.wav,music,48000,432000,0.2,10,0.009103564142738302,1.2992502422257157,-1.0226778526616465,3.321928094887362,-1.3425808139258428,-0.3199029612641964
music9.wav,music,48000,432000,0.2,10,0.029274026141547536,1.8861218071679284,-0.43580628771943375,3.321928094887362,-0.5000219209981196,-0.06421563327868585
noise1.wav,noise,48000,432000,0.2,10,6.947861687972802e-06,0.9916138855849675,-1.3303142093023945,3.321928094887362,-6.52040418227752,-5.190089972975126
noise10.wav,noise,48000,432000,0.2,10,7.2006705260779e-06,0.9928126020383503,-1.3291154928490119,3.321928094887362,-6.494623071231366,-5.165507578382354
noise2.wav,noise,48000,432000,0.2,10,7.033766784125519e-06,0.9914527721126739,-1.3304753227746882,3.321928094887362,-6.511539949043015,-5.181064626268327
noise3.wav,noise,48000,432000,0.2,10,6.898330463558524e-06,0.9902327080225648,-1.3316953868647974,3.321928094887362,-6.525565078201998,-5.1938696913372
noise4.wav,noise,48000,432000,0.2,10,6.835326287860868e-06,0.9905896546714308,-1.3313384402159314,3.321928094887362,-6.532183595844255,-5.200845155628324
noise5.wav,noise,48000,432000,0.2,10,6.992243966520284e-06,0.9908676832078731,-1.331060411679489,3.321928094887362,-6.515810938072731,-5.184750526393241
noise6.wav,noise,48000,432000,0.2,10,6.7104003231075645e-06,0.9893558998474763,-1.3325721950398859,3.321928094887362,-6.545489281474798,-5.212917086434912
noise7.wav,noise,48000,432000,0.2,10,6.815763926547787e-06,0.9914104253267149,-1.3305176695606473,3.321928094887362,-6.534251016140371,-5.203733346579724
noise8.wav,noise,48000,432000,0.2,10,7.02759898453184e-06,0.9921621527153931,-1.329765942171969,3.321928094887362,-6.5121727648451255,-5.1824068226731566
noise9.wav,noise,48000,432000,0.2,10,7.478382918954829e-06,0.9945011242099245,-1.3274269706774375,3.321928094887362,-6.467325527460988,-5.139898556783551
music1.wav,music,48000,432000,0.5,4,0.009352001706662854,1.0062693019813993,0.0062693019813993,2.0,-1.323158960575658,-1.3294282625570573
music10.wav,music,48000,432000,0.5,4,0.030277944900820954,1.0902664715586496,0.09026647155864964,2.0,-0.475698866457246,-0.5659653380158957
music2.wav,music,48000,432000,0.5,4,0.005254108407325412,1.001569138000336,0.001569138000335979,2.0,-1.7390735732928868,-1.7406427112932228
music3.wav,music,48000,432000,0.5,4,0.007002275170289974,0.9999892201908092,-1.077980919084176e-05,2.0,-1.5318846787227498,-1.531873898913559
music4.wav,music,48000,432000,0.5,4,0.014316199631826357,1.0083267049557947,0.008326704955794684,2.0,-1.0160082263937549,-1.0243349313495496
music5.wav,music,48000,432000,0.5,4,0.007755028318808123,1.0030004745671064,0.0030004745671063926,2.0,-1.4582305323914506,-1.461231006958557
