file,class,sampling_rate,delta,lag_samples,lag_seconds,K,mutual_information_bits
2026-05-11 17-15-48.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.07146880599521793
2026-05-11 17-16-10.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.06461812895486195
2026-05-11 17-16-23.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.055573083890214356
2026-05-11 17-16-35.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.06142614882429122
2026-05-11 17-18-20.wav,music,48000,0.1,1000,0.020833333333333332,20,0.01856822886075813
2026-05-11 17-18-59.wav,music,48000,0.1,1000,0.020833333333333332,20,0.014622826548461488
2026-05-11 17-19-28.wav,music,48000,0.1,1000,0.020833333333333332,20,0.002756985022272982
2026-05-11 17-20-13.wav,music,48000,0.1,1000,0.020833333333333332,20,0.011827016463071799
2026-05-11 17-20-39.wav,music,48000,0.1,1000,0.020833333333333332,20,0.005107129763972955
2026-05-11 17-21-31.wav,music,48000,0.1,1000,0.020833333333333332,20,0.018728671165923208
2026-05-11 17-24-03.wav,music,48000,0.1,1000,0.020833333333333332,20,0.005459326918919226
2026-05-11 17-26-42.wav,music,48000,0.1,1000,0.020833333333333332,20,0.013162744284590895
2026-05-11 17-29-53.wav,music,48000,0.1,1000,0.020833333333333332,20,0.017916699641861968
2026-05-11 17-31-00.wav,music,48000,0.1,1000,0.020833333333333332,20,0.01562888879785838
2026-05-11 17-14-19.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.17717408946131596
2026-05-11 17-14-36.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.17933713585080996
2026-05-11 17-14-53.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.18898553183685307
2026-05-11 17-15-08.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.19349896403920352
2026-05-11 17-15-22.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.18762054276282505
2026-05-11 17-15-35.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.1925039532207926
2026-05-11 17-15-48.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.18168837103724855
2026-05-11 17-16-10.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.1806802265512034
2026-05-11 17-16-23.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.15565950425362482
2026-05-11 17-16-35.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.16486698136144276
