n,N_95_one_hit_A,log_N_95_one_hit_A,N_95_one_hit_B,log_N_95_one_hit_B
2,1.9465815058134697,0.6660747602014689,1.9465815058134697,0.6660747602014689
3,4.040125413048189,1.3962757343249501,4.040125413048189,1.3962757343249501
10,1201.4162259384455,7.091256328183394,1201.4162259384455,7.091256328183394
20,121721476.57560904,18.617246013839683,121721476.57560904,18.617246013839683
50,1.9494030573506604e+28,65.13990580510773,1.9494030573506604e+28,65.13990580510773
100,1.6035547860017765e+70,161.65317941566246,1.6035547860017765e+70,161.65317941566246
