shape,n,N,hits,hit_rate,estimate,log_estimate,se_volume,exact,log_exact,abs_error,rel_error,log_error
A,2,100,81,0.81,0.81,-0.21072103131565253,0.03923009049186606,0.7853981633974484,-0.2415644752704904,0.024601836602551663,0.03132403123548174,0.030843443954837874
B,2,100,78,0.78,3.1199999999999997,1.137833001821391,0.1656985214176638,3.141592653589793,1.1447298858494002,0.021592653589793454,0.006873155106573174,-0.006896884028009254
A,2,1000,787,0.787,0.787,-0.2395270305647338,0.012947239087929132,0.7853981633974484,-0.2415644752704904,0.0016018366025516428,0.002039521706572973,0.002037444705756619
B,2,1000,775,0.775,3.1,1.1314021114911006,0.05282045058497702,3.141592653589793,1.1447298858494002,0.04159265358979303,0.013239352830248852,-0.013327774358299571
A,2,10000,7892,0.7892,0.7892,-0.23673550483367675,0.004078766480199621,0.7853981633974484,-0.2415644752704904,0.0038018366025516226,0.004840648704990305,0.0048289704368136566
B,2,10000,7893,0.7893,3.1571999999999996,1.1496855588521102,0.01631222903223223,3.141592653589793,1.1447298858494002,0.015607346410206446,0.004967972659463808,0.004955673002710048
A,2,100000,78626,0.78626,0.78626,-0.24046775244741364,0.001296361108642187,0.7853981633974484,-0.2415644752704904,0.0008618366025515689,0.0010973244434688589,0.0010967228230767678
B,2,100000,78330,0.7833,3.1332,1.1420548465109464,0.005211389219776239,3.141592653589793,1.1447298858494002,0.008392653589793131,0.002671464608947034,-0.0026750393384538107
