proposal,scale,acceptance_rate,rough_ESS,integrated_autocorr_time,sample_mean,sample_std
uniform,0.1,0.9669669669669669,6.092072763436492,164.1477439340215,0.26830074071413945,0.6235322179375264
uniform,0.25,0.95995995995996,20.102887799434075,49.74409696641452,-0.01945238073748223,0.4955510567644524
uniform,0.5,0.8548548548548549,57.02342909945258,17.53665143946245,-0.04480059697646535,0.5959159424197619
uniform,1.0,0.7297297297297297,176.83397234554621,5.655021977597882,-0.1020675699326683,0.5701745961453721
uniform,1.5,0.6036036036036037,291.9164041861582,3.4256382500597304,-0.021330160772782016,0.5786830085349703
uniform,2.0,0.46546546546546547,354.1869760504904,2.8233675081758145,0.0353092449098324,0.5730024283893874
uniform,3.0,0.32932932932932935,269.8571024172428,3.7056649280026654,-0.003974357455328636,0.542746794704549
normal,0.1,0.9719719719719719,10.512096339060044,95.12850412950236,0.2085246893048372,0.4688802424782123
normal,0.25,0.8858858858858859,30.552457797828453,32.73059099261978,-0.2421239068961091,0.537149606620434
normal,0.5,0.8038038038038038,137.96460993250818,7.248235619911488,0.0047569631341274,0.5786638318317584
normal,1.0,0.5895895895895896,178.03108477043543,5.616996612077399,-0.012441776542482387,0.602227193092948
normal,1.5,0.4124124124124124,217.5668854364685,4.5962877024868245,-0.000725856030464481,0.5809559294236181
normal,2.0,0.34034034034034033,103.53240598192922,9.658811562580148,0.0331258838388846,0.5922447749836768
normal,3.0,0.26326326326326327,145.4407789642474,6.875650743357353,-0.047147347193071454,0.5651720859705427
laplace,0.1,0.954954954954955,19.364380105808383,51.64120898969795,0.01713985184617597,0.5073725594314062
laplace,0.25,0.8738738738738738,91.07176800629921,10.980351231688315,0.11009041550305074,0.5623335287892184
laplace,0.5,0.7197197197197197,126.37206493774903,7.913141250739241,-0.06699143736469028,0.6142689404904091
laplace,1.0,0.5665665665665666,234.67301093905593,4.261248432439885,-0.059245901123632545,0.5588610349085281
laplace,1.5,0.4244244244244244,192.92295120472772,5.183416455923956,-0.005575080353079404,0.5588726902417807
laplace,2.0,0.34734734734734735,183.61368995018003,5.446217001963908,0.029765893085380756,0.5916860244975478
laplace,3.0,0.26126126126126126,172.97451358130672,5.781198508934958,-0.0009005992477805762,0.6072573519384293
