proposal,scale,N,acceptance_rate,sample_mean,sample_std,rough_ESS,integrated_autocorr_time
uniform,1.0,1000,0.7357357357357357,0.01959126329455197,0.5765723753616125,179.78761088887276,5.56211851893456
normal,1.0,1000,0.5765765765765766,0.01914944755664993,0.5633099058475329,257.6387520127017,3.881403679329652
laplace,1.0,1000,0.5335335335335335,-0.03127868824232713,0.5574048808442161,176.02624074101348,5.6809711767423074
