shape,n,N,hits,hit_rate,estimate,log_estimate,se_volume,exact,log_exact,abs_error,rel_error,log_error
A,100,1000,0,0.0,0.0,-inf,0.0,1.8681820538376488e-70,-160.55599071529753,1.8681820538376488e-70,1.0,-inf
B,100,1000,0,0.0,0.0,-inf,0.0,2.368202101882872e-40,-91.24127265930301,2.368202101882872e-40,1.0,-inf
A,100,10000,0,0.0,0.0,-inf,0.0,1.8681820538376488e-70,-160.55599071529753,1.8681820538376488e-70,1.0,-inf
B,100,10000,0,0.0,0.0,-inf,0.0,2.368202101882872e-40,-91.24127265930301,2.368202101882872e-40,1.0,-inf
A,100,100000,0,0.0,0.0,-inf,0.0,1.8681820538376488e-70,-160.55599071529753,1.8681820538376488e-70,1.0,-inf
B,100,100000,0,0.0,0.0,-inf,0.0,2.368202101882872e-40,-91.24127265930301,2.368202101882872e-40,1.0,-inf
