proposal,scale,acceptance_rate,rough_ESS,integrated_autocorr_time,sample_mean,sample_std
laplace,1.0,0.5665665665665666,234.67301093905593,4.261248432439885,-0.059245901123632545,0.5588610349085281
normal,1.5,0.4124124124124124,217.5668854364685,4.5962877024868245,-0.000725856030464481,0.5809559294236181
uniform,2.0,0.46546546546546547,354.1869760504904,2.8233675081758145,0.0353092449098324,0.5730024283893874
