shape,n,N,hits,hit_rate,estimate,log_estimate,se_volume,exact,log_exact,abs_error,rel_error,log_error
A,3,100,49,0.49,0.49,-0.7133498878774648,0.04998999899979995,0.523598775598299,-0.6470295833786546,0.03359877559829905,0.06416893461965574,-0.06632030449881021
B,3,100,58,0.58,4.639999999999998,1.5347143662381635,0.39484680573609815,4.188790204786391,1.4324119583011812,0.4512097952136065,0.10771840391959092,0.10230240793698231
A,3,1000,525,0.525,0.525,-0.6443570163905132,0.015791611697353755,0.523598775598299,-0.6470295833786546,0.0014012244017009845,0.0026761414789403426,0.002672566988141334
B,3,1000,513,0.513,4.103999999999999,1.4119621078684683,0.1264483451849015,4.188790204786391,1.4324119583011812,0.08479020478639221,0.020242170326292604,-0.020449850432712857
A,3,10000,5193,0.5193,0.5193,-0.6552735281318638,0.004996273711477385,0.523598775598299,-0.6470295833786546,0.004298775598299054,0.008210056628545369,-0.00824394475320922
B,3,10000,5202,0.5202,4.161599999999999,1.4258996157122499,0.0399673434693876,4.188790204786391,1.4324119583011812,0.027190204786392336,0.006491183243152878,-0.006512342588931297
A,3,100000,51994,0.51994,0.51994,-0.6540418586793656,0.0015798809967842516,0.523598775598299,-0.6470295833786546,0.00365877559829908,0.006987746665599663,-0.007012275300711024
B,3,100000,52097,0.52097,4.16776,1.427378721219287,0.012637981081802583,4.188790204786391,1.4324119583011812,0.02103020478639106,0.005020591568983461,-0.005033237081894182
